rank,change_rank,names_movie,year,duration,age_restrictions,mark,vote_count
1,2,Бедные-несчастные,2023,2h 21m,R,8.0,187000
2,-1,Дюна: Часть вторая,2024,2h 46m,PG-13,8.9,244000
3,3,Дева и дракон,2024,1h 50m,PG-13,6.2,46000
4,4,Оппенгеймер,2023,3h,18+,8.3,684000
5,-3,Дюна,2021,2h 35m,12+,8.0,817000
6,6,Зона интересов,2023,1h 45m,PG-13,7.5,59000
7,4,Рики Стэники,2024,1h 53m,R,6.2,19000
8,1,Кунг-фу панда 4,2024,1h 34m,PG,6.5,8800
9,9,Анатомия падения,2023,2h 31m,18+,7.8,92000
10,6,Оставленные,2023,2h 13m,R,8.0,123000
11,8,Американское чтиво,2023,1h 57m,R,7.6,57000
12,5,Вонка,2023,1h 56m,PG,7.1,119000
13,20,Джентльмены,2019,1h 53m,18+,7.8,390000
14,-9,Дюна,1984,2h 17m,12+,6.3,176000
15,9,Убийцы цветочной луны,2023,3h 26m,R,7.6,225000
16,-6,"Кто угодно, кроме тебя",2023,1h 43m,R,6.2,52000
17,-13,Космонавт,2024,1h 47m,R,5.7,24000
18,7,Любовь истекает кровью,2024,1h 44m,R,7.3,2800
19,22,Барби,2023,1h 54m,PG-13,6.9,516000
20,-7,Мадам Паутина,2024,1h 56m,PG-13,3.8,40000
21,-14,Аргайл: Супершпион,2024,2h 19m,PG-13,5.8,43000
22,4,Дом у дороги,2024,2h 1m,R,6.2,418
23,0,Дрянные девчонки,2024,1h 52m,PG-13,5.8,23000
24,5,Пчеловод,2024,1h 45m,R,6.4,69000
25,76,Годзилла минус один,2023,2h 4m,PG-13,8.3,46000
26,9,Прошлые жизни,2023,1h 45m,16+,7.9,105000
27,0,Солтберн,2023,2h 11m,R,7.0,192000
28,8,Воображаемый друг,2024,1h 44m,PG-13,4.8,3400
29,24,Кабрини,2024,2h 22m,PG-13,8.0,2200
30,26,Маэстро,2023,2h 9m,R,6.5,57000
31,27,Красотки в бегах,2024,1h 24m,R,5.7,7600
32,34,Ворон,2024,,,,
33,-18,Наполеон,2023,2h 38m,18+,6.4,127000
34,6,Охотники за привидениями: Ледяная империя,2024,1h 55m,PG-13,,
35,96,Shaitaan,2024,2h 12m,,7.7,20000
36,1,Godzilla x Kong: The New Empire,2024,1h 55m,PG-13,,
37,155,Мальчик и птица,2023,2h 4m,16+,7.6,47000
38,167,Каскадёры,2024,2h 6m,PG-13,,
39,6220,Atlas,2024,PG-13,,,
40,-19,Аквамен и потерянное царство,2023,2h 4m,PG-13,5.6,73000
41,601,Первый Омен,2024,2h,R,,
42,286,Ирландская мечта,2024,1h 33m,TV-G,5.3,4900
43,712,20 дней в Мариуполе,2023,1h 35m,(Banned),8.6,9200
44,75,Ночь с дьяволом,2023,1h 33m,R,7.5,591
45,-6,Стальная хватка,2023,2h 12m,18+,7.7,45000
46,368,Манкимэн,2024,1h 53m,16+,8.0,262
47,-17,Мы всем чужие,2023,1h 45m,R,7.8,34000
48,6,Интерстеллар,2014,2h 49m,12+,8.7,2100000
49,19,Омен. Непорочная,2024,1h 29m,18+,5.7,335
50,95,Страх,1996,1h 37m,16+,6.2,54000
51,-9,Идеальные дни,2023,2h 4m,18+,7.9,24000
52,-30,The Idea of You,2024,1h 55m,R,6.2,72
53,-22,Один день,2011,1h 47m,PG-13,7.0,166000
54,30,Падение империи,2024,1h 49m,16+,7.4,192
55,53,Диана Наяд,2023,2h 1m,PG-13,7.1,34000
56,-13,Возвращение грозной семейки,2024,1h 10m,TV-G,5.1,849
57,-19,Головоломка 2,2024,,,,
58,124,The American Society of Magical Negroes,2024,1h 44m,PG-13,2.7,2700
59,151,Merry Christmas,2024,2h 24m,,7.2,23000
60,2,Общество снега,2023,2h 24m,R,7.8,120000
61,9679,The Greatest Hits,2024,1h 34m,PG-13,7.8,51
62,-48,Код 8,2019,1h 38m,Not Rated,6.1,50000
63,14,Создатель,2023,2h 13m,PG-13,6.8,152000
64,-4,Однажды в... Голливуде,2019,2h 41m,18+,7.6,840000
65,108,Винни-Пух: Кровь и мёд 2,2024,1h 40m,Not Rated,,
