name,author,rating,new_price,old_price
Чебурашка. Официальная новеллизация,Маслова Анна Алексеевна,6.3,452.0,566.0
Гарри Поттер и философский камень,Роулинг Джоан Кэтлин,9.5,847.0,1059.0
Коралина,Гейман Нил,9.4,620.0,775.0
Ходячий замок,Джонс Диана Уинн,9.4,567.0,709.0
Агент на мягких лапах,Шойнеманн Фрауке,9.4,455.0,569.0
Маленький принц (нов. обл.) (рис. автора),Сент-Экзюпери Антуан де,9.5,354.0,443.0
"Девочка, которая не видела снов",Дёрст Сара Бет,8.7,539.0,674.0
Любимые раскраски. Единороги и пони,,,99.0,134.0
Букварь,Жукова Надежда Сергеевна,9.4,492.0,616.0
"Котёнок Усатик, или Отважное сердце",Вебб Холли,9.5,327.0,409.0
Поллианна,Портер Элинор,9.5,543.0,679.0
Гравити Фолз. Дневник 3,Хирш Алекс,9.5,2115.0,2644.0
Хроники Нарнии (ил. П.Бейнс),Льюис Клайв Стейплз,9.6,919.0,1149.0
Девочка с лисьим хвостом. Повесть. Том 1,Вон Пхён Сон,,565.0,707.0
Гарри Поттер и Тайная комната,Роулинг Джоан Кэтлин,9.6,847.0,1059.0
Приключения Тома Сойера,Твен М.,9.3,263.0,329.0
"Дневник Стива, застрявшего в Minecraft. Книга 1",Дегтярёва Т.,8.2,424.0,531.0
Мейзи Хитчинс. Загадка закрытого ящика,Вебб Холли,9.6,479.0,599.0
Sonic. Нежелательные последствия. Комикс. Том 1,Флинн Йэн,8.8,702.0,878.0
Стань диким!,"Хантер, Эрин",9.6,424.0,659.0
Как это работает. Исследуем 250 объектов и устройств,Лебом Жоэль,,1087.0,1359.0
Дядя Федор пес и кот (илл. Боголюбова),Успенский Эдуард Николаевич,9.3,567.0,709.0
Пушин Кэт. Раскраска,Белтон Клэр,,446.0,558.0
Северус. Глубочайшее исследование фигуры наизагадочнейшего зельевара Хогвартса,Ким Лорри,8.7,768.0,960.0
Гравити Фолз. Графический роман. Вып. 1,Хирш Алекс,8.8,676.0,846.0
Маленький принц (рис. автора),Сент-Экзюпери Антуан де,9.4,327.0,409.0
Сын полка,Катаев Валентин Петрович,,263.0,329.0
Тимур и его команда,Гайдар А.П.,9.0,254.0,318.0
Гарри Поттер и Проклятое дитя. Части первая и вторая. Финальная версия сценария,Роулинг Джоан Кэтлин,6.9,756.0,945.0
Вредные советы,Остер Григорий Бенционович,8.8,247.0,309.0
Секрет еловых писем,Шойнеманн Фрауке,9.6,455.0,569.0
Леди Баг и Супер-Кот. Большая энциклопедия о вселенной Леди Баг,Маслова А.,,926.0,1158.0
Маленькая злая книга,Мист М.,8.6,564.0,706.0
Маугли,Киплинг Редьярд Джозеф,8.8,247.0,309.0
Загадка сбежавшего сейфа,Шойнеманн Фрауке,9.7,455.0,569.0
Игрушки,Барто Агния Львовна,9.9,107.0,134.0
Медвежонок Паддингтон и его друзья: рассказы,Бонд Майкл,9.0,732.0,916.0
Сказки,Сутеев Владимир Григорьевич,9.7,567.0,709.0
"Раскраска для детей. ""Принцессы""",Бекетова Е.Э.,,107.0,134.0
"Щенок Барни,или Пушистый герой",Вебб Холли,9.7,319.0,399.0
Наклейки для самых маленьких. Мамы и малыши,,,67.0,84.0
Котенок по имени Гав. Сказки,Остер Григорий Бенционович,,607.0,759.0
"Мальчики, прославившие Россию","Артемова Наталья, Артемова Ольга",,543.0,679.0
Лесные звери. Раскраска,,,35.0,44.0
Маленький принц,Сент-Экзюпери Антуан де,,231.0,289.0
Чук и Гек. Рассказы,Гайдар А.,,231.0,289.0
Гравити Фолз. Диппер и Мэйбл. Сокровища Пиратов Времени,,9.2,749.0,937.0
Любимые раскраски. Машины и танки,,,107.0,134.0
Я расту: Стихи,Барто Агния Львовна,9.5,415.0,519.0
Рассказы о животных,Бианки Виталий Валентинович,,247.0,309.0
Манюня,Абгарян Наринэ Юрьевна,,819.0,975.0
Мейзи Хитчинс. Призрак кошки,Вебб Холли,9.6,479.0,599.0
"Стихи-болтушки для тех, кто учится говорить",Волкова Наталия Геннадьевна,,91.0,119.0
Модные девчонки Макияж маникюр С наклейками (м) (РН-МД-5),,,111.0,139.0
"Самолеты, корабли, автомобили. Большой альбом раскрасок",Рахманов В.А.,,223.0,279.0
В стране невыученных уроков,Гераскина Лия Борисовна,8.2,247.0,309.0
Мейзи Хитчинс. Пропавший изумруд,Вебб Холли,9.7,479.0,599.0
Буквы. Для детей 5-7 лет,,,43.0,54.0
Волшебник Изумрудного города,Волков Александр Мелентьевич,9.7,735.0,919.0
Рассказы для детей,Зощенко Михаил Михайлович,,276.0,345.0
Любимые зверюшки,"Курганова Ю.Б., художн.",,67.0,84.0
Всё о муми-троллях. Книга 1: повести-сказки,Янссон Туве Марика,9.5,827.0,1034.0
Коша. Книжка с наклейками. Более 70 наклеек!,,,99.0,124.0
Принцессы-феи,Уотт Ф.,,616.0,771.0
Денискины рассказы,Драгунский Виктор Юзефович,8.5,254.0,318.0
Гарри Поттер и узник Азкабана,Роулинг Джоан Кэтлин,9.6,847.0,1059.0
Потешки,Панасюк Инна Сергеевна,,192.0,240.0
Букварь (мини),Жукова Надежда Сергеевна,9.5,488.0,610.0
Девочка с лисьим хвостом. Том 2,Вон Пхён Сон,,495.0,659.0
Стихи и сказки,"Чуковский, Корней Иванович",9.7,439.0,549.0
"Чудо чудное, диво дивное. Русские народные сказки от А до Я","Соколовский В., сост.",8.7,831.0,1039.0
Приключения Электроника,Велтистов Евгений Серафимович,8.2,263.0,329.0
Хрум. Книжка с наклейками. Более 70 наклеек!,,,84.0,129.0
Транспорт,Киатров В.С.,,107.0,134.0
Домовенок Кузька,Александрова Татьяна Ивановна,,231.0,289.0
Раскраска Антистресс для школьников. Для девочек,Сташкина А.А.,,191.0,239.0
Королевство кривых зеркал,Губарев Виталий Георгиевич,,231.0,289.0
Тайна сгоревшего коттеджа,Блайтон Энид Мэри,9.5,351.0,439.0
Превращение Карага,Брандис Катя,8.9,567.0,709.0
Плакат А-3 Азбука разрезная,,9.4,75.0,94.0
Сказка о потерянном времени,Шварц Евгений Львович,9.0,254.0,318.0
Рождественский поросёнок,Роулинг Джоан Кэтлин,8.9,879.0,1099.0
Любимые раскраски. Динозавры,,,107.0,134.0
"Девочки, прославившие Россию","Артемова Наталья, Артемова Ольга",,543.0,679.0
Часодеи. Книга 1. Часовой ключ,Щерба Наталья Васильевна,9.4,647.0,809.0
"Приключения Буратино, или Золотой ключик. Книжка-картинка",Толстой Алексей Николаевич,9.5,695.0,869.0
Колобок,Ушинский К.Д.,,127.0,159.0
