name,author,rating,new_price,old_price
Кинетический интеллект,Михаил Дементьев,,847.0,1016.0
"Кафе на краю земли. Как перестать плыть по течению и вспомнить, зачем ты живешь",Джон Стрелеки,9.0,286.0,343.0
Роман с самим собой. Как уравновесить внутренние ян и инь и не отвлекаться на всякую хрень,Татьяна Мужицкая,9.2,374.0,449.0
Думай медленно... решай быстро,Даниэль Канеман,9.1,1288.0,1546.0
"К себе нежно. Книга о том, как ценить и беречь себя",Ольга Примаченко,8.9,856.0,1027.0
"Я буду толкать тебя. История о путешествии в 800 км, о двух лучших друзьях и одной инвалидной коляске","Патрик Грей,",7.7,103.0,549.0
Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,Клир Дж.,9.3,769.0,923.0
"Всё закончится, а ты нет. Книга силы, утешения и поддержки",Ольга Примаченко,8.8,835.0,1002.0
"Привет из детства. Вернуться в прошлое, чтобы стать счастливым в настоящем",Михаил Лабковский,7.8,849.0,1019.0
"АББ:Франкл Сказать жизни""Да""!",Франкл Д.,9.4,529.0,635.0
Мозг и его потребности 2.0. От питания до признания,Вячеслав Дубынин,,950.0,1149.0
Искусство любить,Эрих Фромм,8.9,288.0,349.0
"Любящий голос внутри: Вокрбук. Как приручить внутреннего критика, чтобы перестать наказывать себя за свои ошибки и обрести свободу",Анастасия Кулькова,,538.0,659.0
Бегство от свободы,Эрих Фромм,8.8,296.0,359.0
Выбор. О свободе и внутренней силе человека. Покетбук,"Эдит Эгер,",9.3,454.0,599.0
"Кошичкин тилипон. Правдиви истори о котиках и их никчемни. Экспресс-помощь для тех, кто застрял в рутине и ищет вдохновение",Зоя Арефьева,9.8,644.0,779.0
"Брать, давать и наслаждаться. Как оставаться в ресурсе, что бы с вами ни происходило",Татьяна Мужицкая,8.5,1049.0,1259.0
ЛЮБИ СЕБЯ. Словно от этого зависит твоя жизнь,Камал Равикант,,339.0,409.0
"Мне все льзя. О том, как найти свое призвание и самого себя",Татьяна Мужицкая,,469.0,569.0
"Зеленая гелевая ручка. Роман о человеке, который решил вырваться из замкнутого круга серых будней",Элой Морено,,103.0,599.0
Внутренняя опора. В любой ситуации возвращайтесь к себе,Анна Бабич,8.8,711.0,853.0
"Теория невероятности. Как мечтать, чтобы сбывалось, как планировать, чтобы достигалось",Татьяна Мужицкая,,469.0,569.0
"К себе нежно. Книга о том, как ценить и беречь себя (покет)",Ольга Примаченко,,469.0,569.0
"Садись, пять! Практическое руководство по развитию здоровой самооценки",Ярослава Рындина,,669.0,809.0
Тайная опора: привязанность в жизни ребенка,Людмила Петрановская,9.6,476.0,571.0
Антирабство. Найди свое призвание,Алёна Владимирская,8.1,141.0,849.0
"Пробуждение внутреннего героя. 12 архетипов, которые помогут раскрыть свою личность и найти путь",Кэрол Пирсон,,874.0,1149.0
Анатомия человеческой деструктивности,Эрих Фромм,9.8,404.0,499.0
"Ребенок в тебе должен обрести дом. Вернуться в детство, чтобы исправить взрослые ошибки",Стефани Шталь,,738.0,886.0
"Кривое зеркало. Как на нас влияют интернет, реалити-шоу и феминизм",Джиа Толентино,8.5,110.0,699.0
Пять языков любви. Как выразить любовь вашему спутнику,Гэри Чепмен,9.5,344.0,469.0
"Эмоциональный интеллект. Почему он может значить больше, чем IQ. NEON Pocketbooks",Дэниел Гоулман,9.6,348.0,469.0
Как перестать беспокоиться и начать жить,Дейл Карнеги,8.8,375.0,469.0
"Человек, который принял жену за шляпу, и другие истории из врачебной практики",Оливер Сакс,8.9,314.0,379.0
Введение в психоанализ,Зигмунд Фрейд,8.9,239.0,319.0
"Теория невероятности. Как мечтать, чтобы сбывалось, как планировать, чтобы достигалось",Татьяна Мужицкая,,1049.0,1259.0
От планктона до акулы. Уроки офисной эволюции для амбициозных,Марк Эффрон,9.1,123.0,749.0
Убийца сидит напротив. Как в ФБР разоблачают серийных убийц и маньяков,"Джон Дуглас,",9.2,787.0,944.0
"Ежедневные практики, которые научат вас брать, давать и наслаждаться",Татьяна Мужицкая,8.3,800.0,969.0
Возвращение в кафе. Как избавиться от груза проблем и поймать волну удачи,Джон Стрелеки,9.5,356.0,427.0
Дар. 12 ключей к внутреннему освобождению и обретению себя. Покетбук,"Эдит Эгер,",9.3,454.0,599.0
"Сердце Льва. Как перезагрузить жизнь и понять, кто ты такой на самом деле",Владимир Древс,7.7,775.0,939.0
Постановка голоса. Говори свободно и без зажимов,Плешаков-Качалин К.,,462.0,549.0
"Игры, в которые играют люди (нов. оф.)",Эрик Берн,9.2,469.0,563.0
"Мне все льзя. О том, как найти свое призвание и самого себя",Татьяна Мужицкая,8.4,1049.0,1259.0
Нетворкинг для разведчиков. Как извлечь пользу из любого знакомства,Елена Вавилова,9.0,614.0,737.0
Психология влияния. 7-е расширенное издание,Роберт Чалдини,9.6,1001.0,1201.0
Купи себе эти чертовы лилии. И другие целительные ритуалы для настройки своей жизни,Тара Шустер,,360.0,439.0
В плену у травмы. Как подружиться со своим тяжелым прошлым и обрести счастливую жизнь,Марина Сойта,,713.0,869.0
НИ СЫ. Будь уверен в своих силах и не позволяй сомнениям мешать тебе двигаться вперед,Джен Синсеро,8.2,856.0,1027.0
"Харизма: Как влиять, убеждать и вдохновлять (Покет серия)",Кабейн О.,8.9,390.0,468.0
